# Field 1: timestamp of equator crossing (UT seconds since 1970-01-01 00:00:00 UTC)
# Field 2: time of equator crossing (years)
# Field 3: longitude of equator crossing (degrees)
# Field 4: local time of equator crossing (hours)
# Field 5: track mean altitude (km)
# Field 6: number of data points in track
# Field 7: track X rms (nT)
# Field 8: track Y rms (nT)
# Field 9: track Z rms (nT)
# Field 10: track scalar rms (nT)
# Field 11: satellite direction (+1 north -1 south)
# Field 12: number of along-track data used for scalar rms
# Field 13: number of along-track data used for vector rms
# Field 14: flagged due to rms (1 or 0)
1420197986 2015.004043   -80.0461   6.10 855.38   3030 16077.9806  3551.4066 19250.3982    23.2733 -1   1945   1945 0
1420201051 2015.004140    87.1871  18.10 854.24   3021 20644.7744  1968.3334 25876.1009    25.4182  1   1730   1730 0
1420204100 2015.004237  -105.5144   6.10 855.41   3025 16868.3120  4237.0247 20803.7216    21.1454 -1   1842   1842 0
1420207166 2015.004334    61.7052  18.10 854.18   3025 18875.5725  3478.6163 23240.4770    28.3845  1   1772   1772 0
1420210215 2015.004430  -130.9967   6.10 855.41   3023 17519.3354  4643.6555 21522.1508    16.2541 -1   1810   1810 0
1420213280 2015.004528    36.2368  18.10 854.14   3025 17229.1034  3238.5002 20121.7554    15.5806  1   1832   1832 0
1420216330 2015.004624  -156.4663   6.10 855.37   3025 18155.1353  4485.0111 21966.9906    20.5919 -1   1796   1796 0
1420219395 2015.004721    10.7547  18.10 854.11   3025 16059.5152  2403.4864 18291.5363    16.3086  1   1885   1885 0
1420222444 2015.004818   178.0509   6.10 855.34   3024 18963.8322  3681.6067 22617.4369    21.7780 -1   1780   1780 0
1420225510 2015.004915   -14.7278  18.10 854.14   3023 15058.9802  3232.1944 17231.3909    23.9710  1   1923   1923 0
1420228559 2015.005012   152.5805   6.10 855.26   3006 20019.1940  1888.3747 23756.5597    16.0404 -1   1764   1764 0
1420231624 2015.005109   -40.1978  18.10 854.13   3031 14510.4776  4266.8876 16744.4949    22.9248  1   1938   1938 0
1420234673 2015.005205   127.0977   6.10 855.36   3018 20877.5907  1172.2948 25264.0991    14.0015 -1   1760   1760 0
1420237739 2015.005303   -65.6812  18.10 854.12   3031 15122.9556  2420.2731 17528.4783    12.5378  1   1936   1936 0
1420240788 2015.005399   101.6164   6.10 855.39   3000 20807.1650  2057.9298 26265.8024    15.6502 -1   1770   1770 0
1420243853 2015.005496   -91.1487  18.10 854.04   3028 16250.4687  2113.0500 18776.3679    11.2357  1   1979   1979 0
1420246902 2015.005593    76.1485   6.10 855.66   3021 19579.1871  3551.1893 24597.3168    17.6456 -1   1816   1816 0
1420249968 2015.005690  -116.6295  18.10 853.94   3025 16823.9896  4465.0196 20064.3642    30.2098  1   2058   2058 0
1420253017 2015.005787    50.6668   6.10 855.69   3028 17618.2329  3297.2866 21544.3276    19.1084 -1   1897   1897 0
1420256083 2015.005884  -142.1119  18.10 853.88   3027 17305.1498  4879.8823 21239.4543    22.3654  1   2073   2073 0
1420259132 2015.005981    25.1842   6.10 855.67   3028 16092.0187  2267.4522 19504.8572    25.6404 -1   2000   2000 0
1420262197 2015.006078  -167.5818  18.10 853.85   3025 18211.0936  4337.3843 22173.7599    22.5466  1   2003   2003 0
1420265246 2015.006174    -0.2855   6.10 855.66   3030 15385.2706  2159.0618 18286.2944    21.3548 -1   2116   2116 0
1420268312 2015.006271   166.9347  18.10 853.76   3006 19384.1989  3475.7418 23549.0915    27.1470  1   1898   1898 0
1420271361 2015.006368   -25.7687   6.10 855.63   3033 15265.4316  3190.2581 17124.8012    25.4444 -1   2158   2158 0
1420274426 2015.006465   141.4647  18.10 853.86   3019 20534.1075  2148.9175 25516.3959    26.9694  1   1799   1799 0
1420277475 2015.006562   -51.2385   6.10 855.59   3028 15472.3139  3845.5848 17140.6168    24.8372 -1   2095   2095 0
1420280541 2015.006659   115.9821  18.10 853.96   3018 21252.9309   553.3629 26655.8888    25.7503  1   1742   1742 0
1420283590 2015.006756   -76.7204   6.10 855.60   3031 15963.1462  3515.8491 18989.6089    20.7392 -1   1964   1964 0
1420286656 2015.006853    90.5128  18.11 854.00   3019 20797.3825  1689.2358 26102.4428    28.3917  1   1728   1728 0
1420289705 2015.006949  -102.2019   6.10 855.66   3029 16751.2968  4144.8162 20656.7327    22.0995 -1   1853   1853 0
1420292770 2015.007046    65.0308  18.10 853.96   3023 19106.9629  3378.7524 23677.7428    19.6339  1   1763   1763 0
1420295819 2015.007143  -127.6708   6.10 855.65   3022 17433.9083  4615.5217 21458.8037    22.8482 -1   1813   1813 0
1420298885 2015.007240    39.5492  18.10 853.89   3027 17405.6451  3349.2085 20493.3641    16.3697  1   1827   1827 0
1420301934 2015.007337  -153.1537   6.10 855.61   3025 18055.4172  4539.1543 21896.9157    22.6706 -1   1797   1797 0
1420305000 2015.007434    14.0804  18.11 853.87   3027 16183.6271  2450.3061 18498.0203    16.8223  1   1880   1880 0
1420308049 2015.007531  -178.6233   6.11 855.56   3022 18842.5809  3834.5995 22497.6086    21.8167 -1   1781   1781 0
1420311114 2015.007628   -11.4021  18.10 853.88   3029 15189.1035  3036.3975 17353.9908    15.2504  1   1920   1920 0
1420314163 2015.007724   155.8932   6.10 855.56   3026 19893.4418  2153.6385 23572.8417    23.2684 -1   1770   1770 0
1420317229 2015.007822   -36.8720  18.11 853.90   3033 14552.4767  4253.0424 16743.1489    12.4380  1   1939   1939 0
1420320278 2015.007918   130.4233   6.11 855.59   3022 20839.3319  1101.3900 25053.6674    25.7027 -1   1761   1761 0
